[CH3:7]/[CH:6]=[CH:5]/[CH2:3][C:2]([CH3:4])=[O:1]	[CH3:7][CH2:6]/[CH:5]=[CH:3]\[C:2]([CH3:4])=[O:1]	InChI=1S/C6H10O/c1-3-4-5-6(2)7/h3-4H,5H2,1-2H3/b4-3+	InChI=1S/C6H10O/c1-3-4-5-6(2)7/h4-5H,3H2,1-2H3/b5-4-
[O:1]=[C:2]1[CH2:3][CH:5]=[CH:6][CH2:4]1	[OH:1][C:2]1=[CH:3][CH:5]=[CH:6][CH2:4]1	InChI=1S/C5H6O/c6-5-3-1-2-4-5/h1-2H,3-4H2	InChI=1S/C5H6O/c6-5-3-1-2-4-5/h1-3,6H,4H2
[O:1]=[C:2]1[CH2:3][CH:5]=[CH:7][CH2:6][CH2:4]1	[OH:1][C:2]1=[CH:3][CH:5]=[CH:7][CH2:6][CH2:4]1	InChI=1S/C6H8O/c7-6-4-2-1-3-5-6/h1-2H,3-5H2	InChI=1S/C6H8O/c7-6-4-2-1-3-5-6/h1-2,4,7H,3,5H2
[OH:10][c:7]1[cH:11][cH:8][c:5]([CH2:9][CH2:6][CH2:3][O:1]2)[c:2]2[n:4]1	[O:10]=[C:7]1[NH:4][C:2]([O:1][CH2:3][CH2:6][CH2:9]2)=[C:5]2[CH:8]=[CH:11]1	InChI=1S/C8H9NO2/c10-7-4-3-6-2-1-5-11-8(6)9-7/h3-4H,1-2,5H2,(H,9,10)
[OH:9][c:7]1[cH:10][cH:8][c:5]([CH2:6][CH2:3][O:1]2)[c:2]2[n:4]1	[O:9]=[C:7]1[NH:4][C:2]([O:1][CH2:3][CH2:6]2)=[C:5]2[CH:8]=[CH:10]1	InChI=1S/C7H7NO2/c9-6-2-1-5-3-4-10-7(5)8-6/h1-2H,3-4H2,(H,8,9)
[O:3]=[S:1]1([N:4]=[CH:6][C:8]([CH2:10][CH2:12][CH2:11][CH2:9]2)=[C:7]2[NH:5]1)=[O:2]	[O:3]=[S:1]1([N:5]=[C:7]([CH2:9][CH2:11][CH2:12][CH2:10]2)[C:8]2=[CH:6][NH:4]1)=[O:2]	InChI=1S/C7H10N2O2S/c10-12(11)8-5-6-3-1-2-4-7(6)9-12/h5,9H,1-4H2	InChI=1S/C7H10N2O2S/c10-12(11)8-5-6-3-1-2-4-7(6)9-12/h5,8H,1-4H2
[O:3]=[S:1]1([N:4]=[C:6]([CH2:9][CH2:11][CH2:10]2)[C:8]2=[CH:7][NH:5]1)=[O:2]	[O:3]=[S:1]1([N:5]=[CH:7][C:8]([CH2:10][CH2:11][CH2:9]2)=[C:6]2[NH:4]1)=[O:2]	InChI=1S/C6H8N2O2S/c9-11(10)7-4-5-2-1-3-6(5)8-11/h4,7H,1-3H2	InChI=1S/C6H8N2O2S/c9-11(10)7-4-5-2-1-3-6(5)8-11/h4,8H,1-3H2
[CH3:8][CH:3]([CH3:7])[C:1]1=[C:2]([CH3:6])[CH2:5][CH2:9][CH2:4]1	[CH3:6][CH:2]([CH2:5][CH2:9][CH2:4]1)[C:1]1=[C:3]([CH3:8])[CH3:7]	InChI=1S/C9H16/c1-7(2)9-6-4-5-8(9)3/h7H,4-6H2,1-3H3	InChI=1S/C9H16/c1-7(2)9-6-4-5-8(9)3/h8H,4-6H2,1-3H3
[CH3:6][CH:3]([C:2]([CH3:4])=[O:1])[C:5]1=[C:7]([CH3:10])[CH2:9][CH2:11][CH2:8]1	[CH3:10][CH:7]([CH2:9][CH2:11][CH2:8]1)/[C:5]1=[C:3](/[CH3:6])\[C:2]([CH3:4])=[O:1]	InChI=1S/C10H16O/c1-7-5-4-6-10(7)8(2)9(3)11/h8H,4-6H2,1-3H3	InChI=1S/C10H16O/c1-7-5-4-6-10(7)8(2)9(3)11/h7H,4-6H2,1-3H3/b10-8-
[CH3:8][CH:3]([CH3:7])[C:1]1=[C:2]([CH3:6])[CH2:5][CH2:10][CH2:9][CH2:4]1	[CH3:6][CH:2]([CH2:5][CH2:10][CH2:9][CH2:4]1)[C:1]1=[C:3]([CH3:8])[CH3:7]	InChI=1S/C10H18/c1-8(2)10-7-5-4-6-9(10)3/h8H,4-7H2,1-3H3	InChI=1S/C10H18/c1-8(2)10-7-5-4-6-9(10)3/h9H,4-7H2,1-3H3
